random seed,Accuracy score,Node id,Tree id,Node depth,Top-100 anomaly count
1,0.0651274982770503,75,81,2,57
2,0.07649896623018608,86,96,3,53
3,0.0618538938662991,66,554,2,54
4,0.0768435561681599,29,961,2,47
5,0.05444521019986216,59,159,2,49
6,0.042729152308752585,40,854,1,62
7,0.0863197794624397,94,464,1,54
8,0.0771881461061337,39,412,2,57
9,0.18935217091660925,17,123,4,3
10,0.040144727773949,68,165,1,59
11,0.08201240523776705,44,291,1,62
12,0.06753962784286699,68,678,1,65
13,0.12284631288766368,117,985,3,52
14,0.08235699517574087,47,772,2,54
15,0.2069262577532736,46,313,5,18
16,0.06719503790489317,112,582,1,57
17,0.059786354238456234,92,31,2,66
18,0.0618538938662991,52,260,1,60
19,0.06857339765678842,59,792,2,54
20,0.05306685044796692,52,846,1,66
21,0.048414886285320466,60,554,1,56
22,0.06650585802894556,62,214,1,54
23,0.15144727773949002,108,898,2,55
24,0.07908339076498966,90,826,1,62
25,0.15920055134390076,37,788,2,41
26,0.11302549965541006,104,380,2,57
27,0.048414886285320466,48,683,1,62
28,0.07201929703652653,46,244,1,70
29,0.04755341144038594,76,878,1,64
30,0.10113714679531358,65,700,3,66
31,0.05737422467263956,68,527,1,61
32,0.06082012405237767,49,183,3,70
33,0.11784975878704342,37,517,5,55
34,0.06753962784286699,70,961,1,57
35,0.10423845623707788,48,236,1,58
36,0.06219848380427292,38,915,3,57
37,0.10733976567884218,54,82,2,60
38,0.06374913852515507,48,32,1,58
39,0.09510682288077188,22,189,1,56
40,0.04720882150241213,72,946,1,61
41,0.11629910406616127,37,666,2,50
42,0.09510682288077188,68,644,1,54
43,0.07201929703652653,76,901,1,48
44,0.08218470020675396,32,141,1,53
45,0.04514128187456926,84,290,1,70
46,0.10992419021364576,108,820,1,60
47,0.057546519641626465,68,785,1,61
48,0.06719503790489317,66,521,1,61
49,0.10027567195037905,55,75,3,65
50,0.05082701585113715,61,743,2,56
51,0.1509303928325293,21,171,4,34
52,0.05616815988973122,60,70,1,45
53,0.1080289455547898,53,494,2,21
54,0.12853204686423156,56,379,1,38
55,0.07908339076498966,38,558,1,57
56,0.07270847691247416,54,997,2,58
57,0.06960716747070986,78,266,1,51
58,0.13352860096485183,110,962,1,54
59,0.05496209510682288,53,459,2,70
60,0.13835286009648518,88,205,2,76
61,0.030323914541695383,72,118,1,60
62,0.160578911095796,67,516,3,54
63,0.17918676774638181,58,615,4,76
64,0.1266368022053756,63,94,4,41
65,0.08115093039283253,60,828,1,57
66,0.09166092350103378,92,146,3,60
67,0.08769813921433495,37,250,2,52
68,0.08442453480358374,67,753,2,52
69,0.10389386629910406,88,700,2,56
70,0.09321157822191592,32,312,3,62
71,0.06357684355616816,102,948,1,55
72,0.06891798759476224,78,432,1,59
73,0.20485871812543074,45,18,3,53
74,0.11078566505858028,98,718,1,54
75,0.061337008959338385,64,557,2,45
76,0.05875258442453481,48,467,1,60
77,0.05616815988973122,116,539,1,56
78,0.0525499655410062,62,143,1,52
79,0.05875258442453481,134,763,1,67
80,0.0833907649896623,86,650,3,68
81,0.11526533425223984,74,802,1,56
82,0.09303928325292901,50,129,1,51
83,0.06667815299793246,22,779,1,64
84,0.13973121984838044,56,534,1,57
85,0.05065472088215024,74,595,1,51
86,0.11337008959338388,55,756,2,52
87,0.09303928325292901,84,835,2,51
88,0.053756030323914544,57,452,3,55
89,0.06667815299793246,64,558,1,56
90,0.07356995175740869,46,623,1,55
91,0.07494831150930392,45,216,3,54
92,0.1140592694693315,25,713,2,2
93,0.07839421088904204,51,141,2,69
94,0.07546519641626465,49,61,2,59
95,0.10889042039972432,72,782,1,53
96,0.06753962784286699,54,408,1,62
97,0.08287388008270158,48,153,1,57
98,0.10699517574086836,98,55,1,48
99,0.11095796002756719,65,579,2,58
100,0.06702274293590627,66,92,2,56
