oid,is_sn,sn_score
252203300005366,0.0,0.90000015
252202400028148,0.0,0.7299999
252203300005335,0.0,0.66
252204200005950,0.0,0.60999995
252205200012116,0.0,0.56999993
252206300005395,0.0,0.5500001
252202400017760,0.0,0.53999996
252204200018980,0.0,0.53
252201400005058,0.0,0.48
252208400023329,0.0,0.42000002
252209200025898,0.0,0.41000003
252201200002005,0.0,0.39000002
252213400006353,0.0,0.38000003
252215100012131,0.0,0.37999994
252205400010450,0.0,0.35
252202100026557,0.0,0.34
252209200029782,0.0,0.32
252210400002553,0.0,0.31
252211300002105,0.0,0.31
252202400010214,0.0,0.30999997
252213100009368,0.0,0.29
252205400026701,0.0,0.29
252213400001281,0.0,0.27
252215100017523,0.0,0.27
252209200010034,0.0,0.26999998
252208400029404,0.0,0.26000002
252201300009474,0.0,0.25000003
252206300020204,0.0,0.25
252211400006043,0.0,0.24999999
252202300016524,0.0,0.24000002
